Gene	Gene description	Concentration
TAOK3	TAO kinase 3	520 ng/L
BAAT	Bile acid-CoA:amino acid N-acyltransferase	520 ng/L
CREG1	Cellular repressor of E1A stimulated genes 1	520 ng/L
RPL10	Ribosomal protein L10	520 ng/L
GALNT4	Polypeptide N-acetylgalactosaminyltransferase 4	520 ng/L
COL9A2	Collagen type IX alpha 2 chain	510 ng/L
CDH3	Cadherin 3	510 ng/L
GNAO1	G protein subunit alpha o1	510 ng/L
CCDC80	Coiled-coil domain containing 80	510 ng/L
PPM1F	Protein phosphatase, Mg2+/Mn2+ dependent 1F	510 ng/L
GNS	Glucosamine (N-acetyl)-6-sulfatase	510 ng/L
FKBP2	FKBP prolyl isomerase 2	510 ng/L
CBSL	Cystathionine beta-synthase like	510 ng/L
VPS35	VPS35 retromer complex component	500 ng/L
PSMD9	Proteasome 26S subunit, non-ATPase 9	500 ng/L
ALDH1B1	Aldehyde dehydrogenase 1 family member B1	500 ng/L
ITGA9	Integrin subunit alpha 9	500 ng/L
UCHL1	Ubiquitin C-terminal hydrolase L1	500 ng/L
AHCYL2	Adenosylhomocysteinase like 2	500 ng/L
OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1	500 ng/L
NGFR	Nerve growth factor receptor	490 ng/L
CPXM1	Carboxypeptidase X, M14 family member 1	490 ng/L
PAICS	Phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	490 ng/L
SCUBE3	Signal peptide, CUB domain and EGF like domain containing 3	490 ng/L
RPL7A	Ribosomal protein L7a	490 ng/L
CD8A	CD8a molecule	490 ng/L
VDAC2	Voltage dependent anion channel 2	490 ng/L
NQO1	NAD(P)H quinone dehydrogenase 1	490 ng/L
PTP4A2	Protein tyrosine phosphatase 4A2	490 ng/L
DYNC1H1	Dynein cytoplasmic 1 heavy chain 1	490 ng/L
ABCF1	ATP binding cassette subfamily F member 1	490 ng/L
FKBP4	FKBP prolyl isomerase 4	480 ng/L
ACP3	Acid phosphatase 3	480 ng/L
FUS	FUS RNA binding protein	480 ng/L
BPNT2	3'(2'), 5'-bisphosphate nucleotidase 2	480 ng/L
RAB5C	RAB5C, member RAS oncogene family	480 ng/L
EIF2S2	Eukaryotic translation initiation factor 2 subunit beta	480 ng/L
PCSK6	Proprotein convertase subtilisin/kexin type 6	480 ng/L
CNTN5	Contactin 5	480 ng/L
CNST	Consortin, connexin sorting protein	480 ng/L
SNRPD1	Small nuclear ribonucleoprotein D1 polypeptide	480 ng/L
PPID	Peptidylprolyl isomerase D	480 ng/L
CRELD2	Cysteine rich with EGF like domains 2	480 ng/L
HADHA	Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	470 ng/L
RPL3	Ribosomal protein L3	470 ng/L
CLN5	CLN5 intracellular trafficking protein	470 ng/L
CPPED1	Calcineurin like phosphoesterase domain containing 1	470 ng/L
HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	470 ng/L
HEATR1	HEAT repeat containing 1	470 ng/L
HNRNPR	Heterogeneous nuclear ribonucleoprotein R	470 ng/L
TNNT3	Troponin T3, fast skeletal type	470 ng/L
TNFAIP8	TNF alpha induced protein 8	470 ng/L
EMCN	Endomucin	470 ng/L
GBA	Glucosylceramidase beta	470 ng/L
ADA	Adenosine deaminase	470 ng/L
HLA-DPB1	Major histocompatibility complex, class II, DP beta 1	470 ng/L
RPS15	Ribosomal protein S15	460 ng/L
PSME3	Proteasome activator subunit 3	460 ng/L
REG4	Regenerating family member 4	460 ng/L
MMP3	Matrix metallopeptidase 3	460 ng/L
BAG3	BAG cochaperone 3	460 ng/L
NDRG2	NDRG family member 2	460 ng/L
C19orf33	Chromosome 19 open reading frame 33	460 ng/L
HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	460 ng/L
ERBB3	Erb-b2 receptor tyrosine kinase 3	450 ng/L
PLD3	Phospholipase D family member 3	450 ng/L
PNPO	Pyridoxamine 5'-phosphate oxidase	450 ng/L
RPS12	Ribosomal protein S12	450 ng/L
HSD17B4	Hydroxysteroid 17-beta dehydrogenase 4	450 ng/L
NONO	Non-POU domain containing octamer binding	450 ng/L
EIF4E	Eukaryotic translation initiation factor 4E	450 ng/L
PGM5	Phosphoglucomutase 5	450 ng/L
AGL	Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	450 ng/L
VEGFD	Vascular endothelial growth factor D	450 ng/L
SLC25A6	Solute carrier family 25 member 6	450 ng/L
ENPP7	Ectonucleotide pyrophosphatase/phosphodiesterase 7	450 ng/L
IFITM2	Interferon induced transmembrane protein 2	450 ng/L
PRELP	Proline and arginine rich end leucine rich repeat protein	450 ng/L
OXCT1	3-oxoacid CoA-transferase 1	440 ng/L
HNRNPM	Heterogeneous nuclear ribonucleoprotein M	440 ng/L
EHD4	EH domain containing 4	440 ng/L
GALNT3	Polypeptide N-acetylgalactosaminyltransferase 3	440 ng/L
MATN3	Matrilin 3	440 ng/L
WBP2	WW domain binding protein 2	440 ng/L
ABI1	Abl interactor 1	440 ng/L
SRP14	Signal recognition particle 14	440 ng/L
RALB	RAS like proto-oncogene B	440 ng/L
PRSS23	Serine protease 23	440 ng/L
MGAT5	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	440 ng/L
DDB1	Damage specific DNA binding protein 1	440 ng/L
CAVIN1	Caveolae associated protein 1	440 ng/L
ADSL	Adenylosuccinate lyase	440 ng/L
RPL5	Ribosomal protein L5	430 ng/L
BIN1	Bridging integrator 1	430 ng/L
SAR1B	Secretion associated Ras related GTPase 1B	430 ng/L
ALDH7A1	Aldehyde dehydrogenase 7 family member A1	430 ng/L
PSMD2	Proteasome 26S subunit, non-ATPase 2	430 ng/L
FAS	Fas cell surface death receptor	420 ng/L
CHI3L2	Chitinase 3 like 2	420 ng/L
MYBPC2	Myosin binding protein C2	420 ng/L
DDX17	DEAD-box helicase 17	420 ng/L
HNRNPL	Heterogeneous nuclear ribonucleoprotein L	420 ng/L
GCG	Glucagon	420 ng/L
GAMT	Guanidinoacetate N-methyltransferase	420 ng/L
RPL11	Ribosomal protein L11	420 ng/L
PLA1A	Phospholipase A1 member A	420 ng/L
BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	420 ng/L
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	420 ng/L
CTHRC1	Collagen triple helix repeat containing 1	420 ng/L
SLITRK4	SLIT and NTRK like family member 4	420 ng/L
GPC6	Glypican 6	420 ng/L
SELENOF	Selenoprotein F	420 ng/L
DNASE1	Deoxyribonuclease 1	420 ng/L
NPTXR	Neuronal pentraxin receptor	420 ng/L
ABHD14A	Abhydrolase domain containing 14A	420 ng/L
XPO1	Exportin 1	410 ng/L
NANS	N-acetylneuraminate synthase	410 ng/L
PDAP1	PDGFA associated protein 1	410 ng/L
TFR2	Transferrin receptor 2	410 ng/L
C1QBP	Complement C1q binding protein	410 ng/L
IL2RA	Interleukin 2 receptor subunit alpha	410 ng/L
ARMT1	Acidic residue methyltransferase 1	410 ng/L
PFKM	Phosphofructokinase, muscle	410 ng/L
NNMT	Nicotinamide N-methyltransferase	410 ng/L
GLDN	Gliomedin	410 ng/L
ASAH1	N-acylsphingosine amidohydrolase 1	400 ng/L
CLC	Charcot-Leyden crystal galectin	400 ng/L
CD81	CD81 molecule	400 ng/L
CLIC5	Chloride intracellular channel 5	400 ng/L
ACE2	Angiotensin I converting enzyme 2	400 ng/L
SMPDL3B	Sphingomyelin phosphodiesterase acid like 3B	400 ng/L
MNDA	Myeloid cell nuclear differentiation antigen	400 ng/L
CRK	CRK proto-oncogene, adaptor protein	400 ng/L
B3GALNT1	Beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	400 ng/L
GRB2	Growth factor receptor bound protein 2	400 ng/L
NCCRP1	NCCRP1, F-box associated domain containing	400 ng/L
LRP6	LDL receptor related protein 6	390 ng/L
UBE2K	Ubiquitin conjugating enzyme E2 K	390 ng/L
QPCT	Glutaminyl-peptide cyclotransferase	390 ng/L
GNMT	Glycine N-methyltransferase	390 ng/L
CPA4	Carboxypeptidase A4	390 ng/L
AMIGO2	Adhesion molecule with Ig like domain 2	390 ng/L
SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2	390 ng/L
BOLA2B	BolA family member 2B	390 ng/L
SHMT2	Serine hydroxymethyltransferase 2	390 ng/L
BOLA2	BolA family member 2	390 ng/L
PRTN3	Proteinase 3	390 ng/L
PLXNB3	Plexin B3	390 ng/L
NAXD	NAD(P)HX dehydratase	390 ng/L
AP2B1	Adaptor related protein complex 2 subunit beta 1	380 ng/L
STX7	Syntaxin 7	380 ng/L
PPM1A	Protein phosphatase, Mg2+/Mn2+ dependent 1A	380 ng/L
ANGPTL1	Angiopoietin like 1	380 ng/L
EPHB2	EPH receptor B2	380 ng/L
RPL7	Ribosomal protein L7	380 ng/L
SLC25A4	Solute carrier family 25 member 4	380 ng/L
ABCE1	ATP binding cassette subfamily E member 1	380 ng/L
PRKCB	Protein kinase C beta	380 ng/L
PIPOX	Pipecolic acid and sarcosine oxidase	380 ng/L
LY6G6F	Lymphocyte antigen 6 family member G6F	380 ng/L
CX3CL1	C-X3-C motif chemokine ligand 1	370 ng/L
TNFRSF12A	TNF receptor superfamily member 12A	370 ng/L
DPEP1	Dipeptidase 1	370 ng/L
GALNT16	Polypeptide N-acetylgalactosaminyltransferase 16	370 ng/L
CRYAB	Crystallin alpha B	370 ng/L
OPTN	Optineurin	370 ng/L
CTSV	Cathepsin V	370 ng/L
SCRN2	Secernin 2	370 ng/L
TINAGL1	Tubulointerstitial nephritis antigen like 1	370 ng/L
LRP1B	LDL receptor related protein 1B	370 ng/L
UBA7	Ubiquitin like modifier activating enzyme 7	370 ng/L
JAG2	Jagged canonical Notch ligand 2	370 ng/L
ELANE	Elastase, neutrophil expressed	370 ng/L
SDHA	Succinate dehydrogenase complex flavoprotein subunit A	360 ng/L
ADD1	Adducin 1	360 ng/L
NPTX2	Neuronal pentraxin 2	360 ng/L
MMP8	Matrix metallopeptidase 8	360 ng/L
STK26	Serine/threonine kinase 26	360 ng/L
DHX9	DExH-box helicase 9	360 ng/L
EPRS1	Glutamyl-prolyl-tRNA synthetase 1	360 ng/L
JAM2	Junctional adhesion molecule 2	360 ng/L
PHB	Prohibitin	360 ng/L
CKAP5	Cytoskeleton associated protein 5	360 ng/L
ARHGAP6	Rho GTPase activating protein 6	350 ng/L
CHRD	Chordin	350 ng/L
GLRX3	Glutaredoxin 3	350 ng/L
SLAMF1	Signaling lymphocytic activation molecule family member 1	350 ng/L
DTD1	D-aminoacyl-tRNA deacylase 1	350 ng/L
ANGPTL8	Angiopoietin like 8	350 ng/L
DDAH1	Dimethylarginine dimethylaminohydrolase 1	350 ng/L
GHRL	Ghrelin and obestatin prepropeptide	350 ng/L
SUCLG1	Succinate-CoA ligase GDP/ADP-forming subunit alpha	350 ng/L
LAIR1	Leukocyte associated immunoglobulin like receptor 1	350 ng/L
MZB1	Marginal zone B and B1 cell specific protein	350 ng/L
MPI	Mannose phosphate isomerase	350 ng/L
SHPK	Sedoheptulokinase	350 ng/L
EIF4B	Eukaryotic translation initiation factor 4B	340 ng/L
RDH11	Retinol dehydrogenase 11	340 ng/L
REXO2	RNA exonuclease 2	340 ng/L
GSTZ1	Glutathione S-transferase zeta 1	340 ng/L
PTGFRN	Prostaglandin F2 receptor inhibitor	340 ng/L
GDF11	Growth differentiation factor 11	340 ng/L
ADM	Adrenomedullin	340 ng/L
VEGFC	Vascular endothelial growth factor C	340 ng/L
RGS18	Regulator of G protein signaling 18	340 ng/L
ESM1	Endothelial cell specific molecule 1	340 ng/L
PCDH7	Protocadherin 7	340 ng/L
BSG	Basigin (Ok blood group)	340 ng/L
IMPDH2	Inosine monophosphate dehydrogenase 2	340 ng/L
RPS17	Ribosomal protein S17	340 ng/L
PNLIPRP1	Pancreatic lipase related protein 1	340 ng/L
SULF2	Sulfatase 2	340 ng/L
LRBA	LPS responsive beige-like anchor protein	340 ng/L
LAYN	Layilin	340 ng/L
SMIM1	Small integral membrane protein 1 (Vel blood group)	340 ng/L
PSMB9	Proteasome 20S subunit beta 9	340 ng/L
SARS1	Seryl-tRNA synthetase 1	330 ng/L
COL5A3	Collagen type V alpha 3 chain	330 ng/L
CTSG	Cathepsin G	330 ng/L
APEX1	Apurinic/apyrimidinic endodeoxyribonuclease 1	330 ng/L
SPRING1	SREBF pathway regulator in golgi 1	330 ng/L
EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	330 ng/L
ECRG4	ECRG4 augurin precursor	330 ng/L
LYPLA1	Lysophospholipase 1	330 ng/L
COPB1	COPI coat complex subunit beta 1	330 ng/L
VLDLR	Very low density lipoprotein receptor	330 ng/L
HNRNPDL	Heterogeneous nuclear ribonucleoprotein D like	330 ng/L
GUSB	Glucuronidase beta	330 ng/L
SCG2	Secretogranin II	330 ng/L
SLITRK1	SLIT and NTRK like family member 1	330 ng/L
MPIG6B	Megakaryocyte and platelet inhibitory receptor G6b	330 ng/L
DERA	Deoxyribose-phosphate aldolase	320 ng/L
CDH19	Cadherin 19	320 ng/L
VSIR	V-set immunoregulatory receptor	320 ng/L
PPIF	Peptidylprolyl isomerase F	320 ng/L
LAMA4	Laminin subunit alpha 4	320 ng/L
TFG	Trafficking from ER to golgi regulator	320 ng/L
STMN1	Stathmin 1	320 ng/L
GNA13	G protein subunit alpha 13	320 ng/L
SDC4	Syndecan 4	320 ng/L
CSE1L	Chromosome segregation 1 like	320 ng/L
SNRPC	Small nuclear ribonucleoprotein polypeptide C	320 ng/L
RRBP1	Ribosome binding protein 1	320 ng/L
KLB	Klotho beta	320 ng/L
RPS6	Ribosomal protein S6	320 ng/L
RPS2	Ribosomal protein S2	320 ng/L
PRPS1	Phosphoribosyl pyrophosphate synthetase 1	320 ng/L
CZIB	CXXC motif containing zinc binding protein	320 ng/L
AZU1	Azurocidin 1	320 ng/L
DSG4	Desmoglein 4	320 ng/L
MME	Membrane metalloendopeptidase	320 ng/L
HSPB6	Heat shock protein family B (small) member 6	310 ng/L
SEZ6	Seizure related 6 homolog	310 ng/L
TPD52	Tumor protein D52	310 ng/L
DDX5	DEAD-box helicase 5	310 ng/L
IDE	Insulin degrading enzyme	310 ng/L
IMPA1	Inositol monophosphatase 1	310 ng/L
MEP1B	Meprin A subunit beta	310 ng/L
FBLN7	Fibulin 7	310 ng/L
TPBG	Trophoblast glycoprotein	310 ng/L
ATP6V1B2	ATPase H+ transporting V1 subunit B2	310 ng/L
RPL30	Ribosomal protein L30	310 ng/L
CACHD1	Cache domain containing 1	310 ng/L
ARF6	ADP ribosylation factor 6	310 ng/L
CLMP	CXADR like membrane protein	310 ng/L
LYNX1	Ly6/neurotoxin 1	310 ng/L
UNC5C	Unc-5 netrin receptor C	310 ng/L
NHLRC3	NHL repeat containing 3	310 ng/L
NOC2L	NOC2 like nucleolar associated transcriptional repressor	310 ng/L
MGAM	Maltase-glucoamylase	310 ng/L
KIF2A	Kinesin family member 2A	300 ng/L
FAT2	FAT atypical cadherin 2	300 ng/L
PSMC6	Proteasome 26S subunit, ATPase 6	300 ng/L
GALNT18	Polypeptide N-acetylgalactosaminyltransferase 18	300 ng/L
SCLY	Selenocysteine lyase	300 ng/L
PDGFRA	Platelet derived growth factor receptor alpha	300 ng/L
USP15	Ubiquitin specific peptidase 15	300 ng/L
RPS3A	Ribosomal protein S3A	300 ng/L
MTDH	Metadherin	300 ng/L
ADAM17	ADAM metallopeptidase domain 17	300 ng/L
GART	Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	300 ng/L
PTMS	Parathymosin	300 ng/L
S100B	S100 calcium binding protein B	300 ng/L
FUBP1	Far upstream element binding protein 1	300 ng/L
PEA15	Proliferation and apoptosis adaptor protein 15	300 ng/L
SUCLG2	Succinate-CoA ligase GDP-forming subunit beta	300 ng/L
OXSR1	Oxidative stress responsive kinase 1	300 ng/L
PITPNB	Phosphatidylinositol transfer protein beta	300 ng/L
CPNE1	Copine 1	300 ng/L
HEBP1	Heme binding protein 1	290 ng/L
MYOM2	Myomesin 2	290 ng/L
RPL18	Ribosomal protein L18	290 ng/L
HSD17B10	Hydroxysteroid 17-beta dehydrogenase 10	290 ng/L
PAFAH1B3	Platelet activating factor acetylhydrolase 1b catalytic subunit 3	290 ng/L
PCSK5	Proprotein convertase subtilisin/kexin type 5	290 ng/L
SNRPD3	Small nuclear ribonucleoprotein D3 polypeptide	290 ng/L
GRAP2	GRB2 related adaptor protein 2	290 ng/L
COL21A1	Collagen type XXI alpha 1 chain	290 ng/L
ANXA7	Annexin A7	290 ng/L
RPS8	Ribosomal protein S8	290 ng/L
S100A1	S100 calcium binding protein A1	290 ng/L
FCRL1	Fc receptor like 1	290 ng/L
ENPP6	Ectonucleotide pyrophosphatase/phosphodiesterase 6	290 ng/L
SYK	Spleen associated tyrosine kinase	290 ng/L
PSMC3	Proteasome 26S subunit, ATPase 3	290 ng/L
RPL15	Ribosomal protein L15	290 ng/L
PCCA	Propionyl-CoA carboxylase subunit alpha	290 ng/L
DPM3	Dolichyl-phosphate mannosyltransferase subunit 3, regulatory	290 ng/L
ADSS1	Adenylosuccinate synthase 1	290 ng/L
CELSR1	Cadherin EGF LAG seven-pass G-type receptor 1	280 ng/L
HAL	Histidine ammonia-lyase	280 ng/L
EIF3J	Eukaryotic translation initiation factor 3 subunit J	280 ng/L
AMH	Anti-Mullerian hormone	280 ng/L
LIPA	Lipase A, lysosomal acid type	280 ng/L
CD244	CD244 molecule	280 ng/L
LOXL1	Lysyl oxidase like 1	280 ng/L
RGN	Regucalcin	280 ng/L
TPP2	Tripeptidyl peptidase 2	280 ng/L
EIF4A3	Eukaryotic translation initiation factor 4A3	280 ng/L
ANP32E	Acidic nuclear phosphoprotein 32 family member E	280 ng/L
G3BP1	G3BP stress granule assembly factor 1	280 ng/L
ADGRA3	Adhesion G protein-coupled receptor A3	280 ng/L
CARHSP1	Calcium regulated heat stable protein 1	280 ng/L
IGSF8	Immunoglobulin superfamily member 8	280 ng/L
RNASE7	Ribonuclease A family member 7	280 ng/L
ATP5ME	ATP synthase membrane subunit e	280 ng/L
SLC9A9	Solute carrier family 9 member A9	280 ng/L
TSN	Translin	280 ng/L
ADGRA2	Adhesion G protein-coupled receptor A2	270 ng/L
CDH10	Cadherin 10	270 ng/L
PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	270 ng/L
PTPN18	Protein tyrosine phosphatase non-receptor type 18	270 ng/L
SNX3	Sorting nexin 3	270 ng/L
ARPP19	CAMP regulated phosphoprotein 19	270 ng/L
SIGLEC9	Sialic acid binding Ig like lectin 9	270 ng/L
CASQ1	Calsequestrin 1	270 ng/L
ADAMTSL3	ADAMTS like 3	270 ng/L
FCER1G	Fc fragment of IgE receptor Ig	270 ng/L
BROX	BRO1 domain and CAAX motif containing	270 ng/L
CYTL1	Cytokine like 1	270 ng/L
CTSW	Cathepsin W	270 ng/L
IST1	IST1 factor associated with ESCRT-III	270 ng/L
RPL14	Ribosomal protein L14	270 ng/L
SPN	Sialophorin	270 ng/L
S100A10	S100 calcium binding protein A10	270 ng/L
DDX39B	DExD-box helicase 39B	270 ng/L
MATR3	Matrin 3	260 ng/L
KITLG	KIT ligand	260 ng/L
VAMP3	Vesicle associated membrane protein 3	260 ng/L
CAD	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	260 ng/L
SIGLEC1	Sialic acid binding Ig like lectin 1	260 ng/L
RPS19	Ribosomal protein S19	260 ng/L
LIFR	LIF receptor subunit alpha	260 ng/L
HTRA2	HtrA serine peptidase 2	260 ng/L
BST2	Bone marrow stromal cell antigen 2	260 ng/L
ITGA11	Integrin subunit alpha 11	260 ng/L
SLC16A3	Solute carrier family 16 member 3	260 ng/L
ADD3	Adducin 3	260 ng/L
ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	260 ng/L
DEFA6	Defensin alpha 6	260 ng/L
OLFML1	Olfactomedin like 1	260 ng/L
PURA	Purine rich element binding protein A	260 ng/L
S100A14	S100 calcium binding protein A14	260 ng/L
TOR4A	Torsin family 4 member A	260 ng/L
GALT	Galactose-1-phosphate uridylyltransferase	260 ng/L
DDX3X	DEAD-box helicase 3 X-linked	260 ng/L
EIF6	Eukaryotic translation initiation factor 6	260 ng/L
UQCRC1	Ubiquinol-cytochrome c reductase core protein 1	250 ng/L
PSMD5	Proteasome 26S subunit, non-ATPase 5	250 ng/L
PSMD10	Proteasome 26S subunit, non-ATPase 10	250 ng/L
PLP2	Proteolipid protein 2	250 ng/L
PCDHB15	Protocadherin beta 15	250 ng/L
TP53I3	Tumor protein p53 inducible protein 3	250 ng/L
CSRP3	Cysteine and glycine rich protein 3	250 ng/L
LY96	Lymphocyte antigen 96	250 ng/L
HPGDS	Hematopoietic prostaglandin D synthase	250 ng/L
PAFAH1B2	Platelet activating factor acetylhydrolase 1b catalytic subunit 2	250 ng/L
TBC1D10B	TBC1 domain family member 10B	250 ng/L
RPS21	Ribosomal protein S21	250 ng/L
CADM2	Cell adhesion molecule 2	250 ng/L
VWA1	Von Willebrand factor A domain containing 1	250 ng/L
FAM3B	FAM3 metabolism regulating signaling molecule B	250 ng/L
PGP	Phosphoglycolate phosphatase	250 ng/L
SIRPB2	Signal regulatory protein beta 2	250 ng/L
SLC39A10	Solute carrier family 39 member 10	250 ng/L
DCTN1	Dynactin subunit 1	250 ng/L
PRKDC	Protein kinase, DNA-activated, catalytic subunit	250 ng/L
TM9SF3	Transmembrane 9 superfamily member 3	240 ng/L
CIRBP	Cold inducible RNA binding protein	240 ng/L
HAO1	Hydroxyacid oxidase 1	240 ng/L
EMD	Emerin	240 ng/L
FCER2	Fc fragment of IgE receptor II	240 ng/L
NPDC1	Neural proliferation, differentiation and control 1	240 ng/L
VNN2	Vanin 2	240 ng/L
AGMAT	Agmatinase	240 ng/L
UFM1	Ubiquitin fold modifier 1	240 ng/L
ECHDC2	Enoyl-CoA hydratase domain containing 2	240 ng/L
VAPB	VAMP associated protein B and C	240 ng/L
PPT1	Palmitoyl-protein thioesterase 1	240 ng/L
IAH1	Isoamyl acetate hydrolyzing esterase 1 (putative)	240 ng/L
GLCE	Glucuronic acid epimerase	240 ng/L
GUK1	Guanylate kinase 1	240 ng/L
ENOPH1	Enolase-phosphatase 1	240 ng/L
CAMK2D	Calcium/calmodulin dependent protein kinase II delta	240 ng/L
DOK3	Docking protein 3	240 ng/L
PDLIM3	PDZ and LIM domain 3	240 ng/L
STC1	Stanniocalcin 1	240 ng/L
SCRG1	Stimulator of chondrogenesis 1	240 ng/L
HDHD2	Haloacid dehalogenase like hydrolase domain containing 2	240 ng/L
OLFML2A	Olfactomedin like 2A	240 ng/L
S100A3	S100 calcium binding protein A3	240 ng/L
MYBPC1	Myosin binding protein C1	240 ng/L
GMFB	Glia maturation factor beta	240 ng/L
MT-CO2	Mitochondrially encoded cytochrome c oxidase II	240 ng/L
HLA-DPA1	Major histocompatibility complex, class II, DP alpha 1	240 ng/L
YBX3	Y-box binding protein 3	230 ng/L
ELAVL1	ELAV like RNA binding protein 1	230 ng/L
FERMT2	Fermitin family member 2	230 ng/L
DNM2	Dynamin 2	230 ng/L
TOMM22	Translocase of outer mitochondrial membrane 22	230 ng/L
AMPD2	Adenosine monophosphate deaminase 2	230 ng/L
SARDH	Sarcosine dehydrogenase	230 ng/L
CHMP2A	Charged multivesicular body protein 2A	230 ng/L
C9orf40	Chromosome 9 open reading frame 40	230 ng/L
LACRT	Lacritin	230 ng/L
COX5B	Cytochrome c oxidase subunit 5B	230 ng/L
SPINK7	Serine peptidase inhibitor Kazal type 7	230 ng/L
AIFM1	Apoptosis inducing factor mitochondria associated 1	230 ng/L
BMP10	Bone morphogenetic protein 10	230 ng/L
PSMD1	Proteasome 26S subunit, non-ATPase 1	230 ng/L
SRL	Sarcalumenin	230 ng/L
VTA1	Vesicle trafficking 1	220 ng/L
PGM3	Phosphoglucomutase 3	220 ng/L
CUL1	Cullin 1	220 ng/L
ISOC2	Isochorismatase domain containing 2	220 ng/L
IRAG1	Inositol 1,4,5-triphosphate receptor associated 1	220 ng/L
PFDN4	Prefoldin subunit 4	220 ng/L
NEFM	Neurofilament medium	220 ng/L
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3	220 ng/L
CTH	Cystathionine gamma-lyase	220 ng/L
VAMP8	Vesicle associated membrane protein 8	220 ng/L
ETF1	Eukaryotic translation termination factor 1	220 ng/L
IMMT	Inner membrane mitochondrial protein	220 ng/L
COX17	Cytochrome c oxidase copper chaperone COX17	220 ng/L
EFHD2	EF-hand domain family member D2	220 ng/L
MINDY1	MINDY lysine 48 deubiquitinase 1	220 ng/L
ZNF185	Zinc finger protein 185 with LIM domain	220 ng/L
DOK2	Docking protein 2	220 ng/L
PROSER2	Proline and serine rich 2	220 ng/L
TMED10	Transmembrane p24 trafficking protein 10	220 ng/L
FGGY	FGGY carbohydrate kinase domain containing	220 ng/L
UBE2O	Ubiquitin conjugating enzyme E2 O	220 ng/L
ERBB4	Erb-b2 receptor tyrosine kinase 4	220 ng/L
PENK	Proenkephalin	220 ng/L
C1orf68	Chromosome 1 open reading frame 68	220 ng/L
IPO7	Importin 7	220 ng/L
CNPY2	Canopy FGF signaling regulator 2	220 ng/L
RPS20	Ribosomal protein S20	210 ng/L
CD74	CD74 molecule	210 ng/L
OSTM1	Osteoclastogenesis associated transmembrane protein 1	210 ng/L
CSTF1	Cleavage stimulation factor subunit 1	210 ng/L
GSPT1	G1 to S phase transition 1	210 ng/L
SLAIN2	SLAIN motif family member 2	210 ng/L
PRKAR2A	Protein kinase cAMP-dependent type II regulatory subunit alpha	210 ng/L
DARS1	Aspartyl-tRNA synthetase 1	210 ng/L
MFAP2	Microfibril associated protein 2	210 ng/L
FLT3	Fms related receptor tyrosine kinase 3	210 ng/L
ANXA11	Annexin A11	210 ng/L
INHBA	Inhibin subunit beta A	210 ng/L
EIF2S1	Eukaryotic translation initiation factor 2 subunit alpha	210 ng/L
RPS15A	Ribosomal protein S15a	210 ng/L
LRPPRC	Leucine rich pentatricopeptide repeat containing	210 ng/L
CRB2	Crumbs cell polarity complex component 2	210 ng/L
PLCB3	Phospholipase C beta 3	210 ng/L
EIF5B	Eukaryotic translation initiation factor 5B	210 ng/L
COX6C	Cytochrome c oxidase subunit 6C	210 ng/L
LY6D	Lymphocyte antigen 6 family member D	210 ng/L
EIF1	Eukaryotic translation initiation factor 1	210 ng/L
CRLF3	Cytokine receptor like factor 3	210 ng/L
HEPACAM2	HEPACAM family member 2	210 ng/L
TPK1	Thiamin pyrophosphokinase 1	210 ng/L
KRT39	Keratin 39	210 ng/L
SVIL	Supervillin	210 ng/L
SERPINB13	Serpin family B member 13	210 ng/L
PSMC4	Proteasome 26S subunit, ATPase 4	200 ng/L
STRAP	Serine/threonine kinase receptor associated protein	200 ng/L
GAL	Galanin and GMAP prepropeptide	200 ng/L
ITGA8	Integrin subunit alpha 8	200 ng/L
MLN	Motilin	200 ng/L
NDRG1	N-myc downstream regulated 1	200 ng/L
CARS1	Cysteinyl-tRNA synthetase 1	200 ng/L
LOXL3	Lysyl oxidase like 3	200 ng/L
DDX39A	DExD-box helicase 39A	200 ng/L
POF1B	POF1B actin binding protein	200 ng/L
UBQLN1	Ubiquilin 1	200 ng/L
DENR	Density regulated re-initiation and release factor	200 ng/L
CAMK2G	Calcium/calmodulin dependent protein kinase II gamma	200 ng/L
CD1C	CD1c molecule	200 ng/L
LGALS4	Galectin 4	200 ng/L
PC	Pyruvate carboxylase	200 ng/L
TANGO2	Transport and golgi organization 2 homolog	200 ng/L
